web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,Address,bedrooms,bathrooms,Squarefeet,datesold
1680469672-4,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2336-N-84th-St-Wauwatosa-WI-53226/110711841_zpid/,": $329,900","2336 North 84th St, Wauwatosa, WI 53226",3 bd,2 ba,"1,894 sqft","Sold: $329,900Sold on 02/28/23Zestimate®: $336,700"
1680469677-5,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2525-N-90th-St-Wauwatosa-WI-53226/110702716_zpid/,": $650,000","2525 North 90th St, Wauwatosa, WI 53226",4 bd,3 ba,"2,825 sqft","Sold: $650,000Sold on 02/28/23Zestimate®: $662,600"
1680469682-6,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2519-N-70th-St-Wauwatosa-WI-53213/98343540_zpid/,": $245,000","2519 North 70th St, Wauwatosa, WI 53213",4 bd,1 ba,"1,424 sqft","Sold: $245,000Sold on 02/28/23Zestimate®: $245,000"
1680469687-7,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/1623-Alta-Vista-Ave-Wauwatosa-WI-53213/110716726_zpid/,": $647,000","1623 Alta Vista Ave, Wauwatosa, WI 53213",3 bd,3 ba,"2,780 sqft","Sold: $647,000Sold on 03/01/23Zestimate®: $644,900"
1680469692-8,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/10015-W-Glendale-Ave-Wauwatosa-WI-53225/110713561_zpid/,": $300,000","10015 West Glendale Ave, Wauwatosa, WI 53225",3 bd,1 ba,"1,550 sqft","Sold: $300,000Sold on 03/01/23Zestimate®: $305,600"
1680469697-9,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2738-N-117th-Pl-Wauwatosa-WI-53222/110741452_zpid/,": $643,000","2738 North 117th Pl, Wauwatosa, WI 53222",4 bd,3 ba,"3,292 sqft","Sold: $643,000Sold on 03/02/23Zestimate®: $655,500"
1680469703-10,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/2641-N-80th-St-Wauwatosa-WI-53213/110715770_zpid/,": $275,000","2641 North 80th St, Wauwatosa, WI 53213",3 bd,2 ba,"1,402 sqft","Sold: $275,000Sold on 03/02/23Zestimate®: $280,300"
1680469709-11,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/10502-W-Michigan-St-Wauwatosa-WI-53226/110754611_zpid/,": $420,000","10502 West Michigan St, Wauwatosa, WI 53226",4 bd,2 ba,"1,885 sqft","Sold: $420,000Sold on 03/03/23Zestimate®: $386,500"
1680469716-12,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/314-N-68th-St-Wauwatosa-WI-53213/110728764_zpid/,": $195,000","314 North 68th St, Wauwatosa, WI 53213",2 bd,1 ba,933 sqft,"Sold: $195,000Sold on 03/06/23Zestimate®: $198,300"
1680469737-13,"https://www.zillow.com/homes/Wauwatosa,-WI_rb/",,https://www.zillow.com/homedetails/7726-Livingston-Ave-Wauwatosa-WI-53213/98331723_zpid/,": $315,000","7726 Livingston Ave, Wauwatosa, WI 53213",3 bd,2 ba,"1,371 sqft","Sold: $315,000Sold on 03/07/23Zestimate®: $320,100"
